scenario_name,scenario_category,expected_algorithm,request_id,security_level,risk_score,conf_score,has_qkd,proposed_algorithms,fallback_algorithms,response_time,feedback_success,feedback_latency,feedback_resource_usage,diversity_penalty,diversity_bonus,base_success_prob,timestamp
PQC SPHINCS+ - Stateless Hash-Based,pqc_sphincs,PQC_SPHINCS,pqc-sphincs-011,very_high,0.89,0.92,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.128656625747681,False,165.55,0.83,0.2,0.0,0.35,2025-12-10T09:07:02.363702
HYBRID QKD+PQC - Maximum Security,hybrid_qkd_pqc,HYBRID_QKD_PQC,hybrid-qkd-pqc-012,ultra,0.97,0.99,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.145601511001587,False,312.28,1.0,0.2,0.0,0.35,2025-12-10T09:07:10.767780
HYBRID RSA+PQC - Transition Security,hybrid_rsa,HYBRID_RSA_PQC,hybrid-rsa-013,very_high,0.82,0.85,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.15986180305481,False,102.48,0.79,0.2,0.0,0.35,2025-12-10T09:07:19.182705
HYBRID ECC+PQC - Elliptic Curve Hybrid,hybrid_ecc,HYBRID_ECC_PQC,hybrid-ecc-014,high,0.75,0.79,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.152682781219482,False,119.28,0.83,0.2,0.0,0.35,2025-12-10T09:07:27.591900
RSA 4096 - Classical Strong,classical_rsa,RSA_4096,rsa-4096-015,high,0.7,0.74,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.113129615783691,True,48.58,0.61,0.2,0.0,0.35,2025-12-10T09:07:35.945065
ECC 521 - Elliptic Curve,classical_ecc,ECC_521,ecc-521-016,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.110223770141602,True,49.04,0.57,0.2,0.0,0.35,2025-12-10T09:07:44.298055
AES 256 GCM - Symmetric Encryption,classical_aes256,AES_256_GCM,aes-256-017,moderate,0.55,0.6,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.141361474990845,True,13.72,0.33,0.2,0.0,0.73,2025-12-10T09:07:52.696679
AES 192 - Medium Symmetric,classical_aes192,AES_192,aes-192-018,moderate,0.5,0.55,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.131227493286133,True,40.41,0.43,0.2,0.0,0.35,2025-12-10T09:08:01.081187
ChaCha20-Poly1305 - Stream Cipher,classical_chacha,CHACHA20_POLY1305,chacha20-019,moderate,0.52,0.57,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.134550333023071,False,86.7,0.48,0.2,0.0,0.35,2025-12-10T09:08:09.460920
FALLBACK AES - Emergency Mode,fallback,FALLBACK_AES,fallback-aes-020,moderate,0.6,0.65,False,"['AES_192', 'AES_256_GCM']",[],6.158635139465332,True,26.7,0.36,0.1,0.05,0.475,2025-12-10T09:08:17.872051
QKD BB84 - Ultra Security,quantum_bb84,QKD_BB84,qkd-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.131093502044678,False,235.96,0.77,0.2,0.0,0.73,2025-12-10T09:08:26.762120
QKD E91 - Entanglement Based,quantum_e91,QKD_E91,qkd-e91-002,very_high,0.9,0.93,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.151602745056152,True,106.32,1.0,0.2,0.0,0.35,2025-12-10T09:08:35.169692
QKD CV-QKD - Continuous Variable,quantum_cv,QKD_CV-QKD,qkd-cv-003,high,0.85,0.88,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.136635780334473,False,229.39,1.0,0.2,0.0,0.35,2025-12-10T09:08:43.538796
QKD MDI-QKD - Measurement Device Independent,quantum_mdi,QKD_MDI-QKD,qkd-mdi-004,high,0.83,0.86,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.143545866012573,False,203.9,1.0,0.2,0.0,0.35,2025-12-10T09:08:51.924290
QKD DECOY - Decoy State Protocol,quantum_decoy,QKD_DECOY,qkd-decoy-005,very_high,0.91,0.94,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.124292612075806,False,281.43,1.0,0.2,0.0,0.35,2025-12-10T09:09:00.287310
PQC KYBER - Post-Quantum KEM,pqc_kyber,PQC_KYBER,pqc-kyber-006,ultra,0.93,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1439008712768555,True,30.93,0.59,0.2,0.0,0.73,2025-12-10T09:09:08.687759
PQC DILITHIUM - Digital Signature,pqc_dilithium,PQC_DILITHIUM,pqc-dilithium-007,very_high,0.88,0.91,False,"['PQC_DILITHIUM', 'AES_256_GCM']",[],6.135858058929443,True,27.74,0.58,0.1,0.05,0.88,2025-12-10T09:09:17.082500
PQC NTRU - Lattice-Based Encryption,pqc_ntru,PQC_NTRU,pqc-ntru-008,very_high,0.86,0.89,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1419453620910645,False,106.22,0.85,0.2,0.0,0.35,2025-12-10T09:09:25.470056
PQC SABER - Module Learning,pqc_saber,PQC_SABER,pqc-saber-009,high,0.8,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1277618408203125,False,172.48,0.81,0.2,0.0,0.35,2025-12-10T09:09:33.853716
PQC FALCON - Fast Fourier Lattice,pqc_falcon,PQC_FALCON,pqc-falcon-010,ultra,0.94,0.97,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.140249490737915,True,44.64,0.79,0.2,0.0,0.35,2025-12-10T09:09:42.248842
PQC SPHINCS+ - Stateless Hash-Based,pqc_sphincs,PQC_SPHINCS,pqc-sphincs-011,very_high,0.89,0.92,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.151421070098877,False,174.64,0.79,0.2,0.0,0.35,2025-12-10T09:09:50.644257
HYBRID QKD+PQC - Maximum Security,hybrid_qkd_pqc,HYBRID_QKD_PQC,hybrid-qkd-pqc-012,ultra,0.97,0.99,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.155230283737183,False,321.86,1.0,0.2,0.0,0.35,2025-12-10T09:09:59.046544
HYBRID RSA+PQC - Transition Security,hybrid_rsa,HYBRID_RSA_PQC,hybrid-rsa-013,very_high,0.82,0.85,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.117501258850098,False,100.8,0.81,0.2,0.0,0.35,2025-12-10T09:10:07.407648
HYBRID ECC+PQC - Elliptic Curve Hybrid,hybrid_ecc,HYBRID_ECC_PQC,hybrid-ecc-014,high,0.75,0.79,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.154167652130127,True,31.91,0.8,0.2,0.0,0.35,2025-12-10T09:10:15.818550
RSA 4096 - Classical Strong,classical_rsa,RSA_4096,rsa-4096-015,high,0.7,0.74,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.141097784042358,True,40.62,0.6,0.2,0.0,0.35,2025-12-10T09:10:24.201574
ECC 521 - Elliptic Curve,classical_ecc,ECC_521,ecc-521-016,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.149067401885986,False,133.49,0.6,0.2,0.0,0.35,2025-12-10T09:10:32.605536
AES 256 GCM - Symmetric Encryption,classical_aes256,AES_256_GCM,aes-256-017,moderate,0.55,0.6,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.113363981246948,True,16.9,0.31,0.2,0.0,0.73,2025-12-10T09:10:40.975179
AES 192 - Medium Symmetric,classical_aes192,AES_192,aes-192-018,moderate,0.5,0.55,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1404969692230225,False,92.13,0.4,0.2,0.0,0.35,2025-12-10T09:10:49.361602
ChaCha20-Poly1305 - Stream Cipher,classical_chacha,CHACHA20_POLY1305,chacha20-019,moderate,0.52,0.57,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.137379169464111,False,89.27,0.5,0.2,0.0,0.35,2025-12-10T09:10:57.746357
FALLBACK AES - Emergency Mode,fallback,FALLBACK_AES,fallback-aes-020,moderate,0.6,0.65,False,"['AES_192', 'AES_256_GCM']",[],6.159495115280151,False,96.86,0.38,0.1,0.05,0.475,2025-12-10T09:11:06.158024
QKD BB84 - Ultra Security,quantum_bb84,QKD_BB84,qkd-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.135832786560059,True,53.94,0.78,0.2,0.0,0.73,2025-12-10T09:11:15.039316
QKD E91 - Entanglement Based,quantum_e91,QKD_E91,qkd-e91-002,very_high,0.9,0.93,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.160125255584717,False,285.28,1.0,0.2,0.0,0.35,2025-12-10T09:11:23.458219
QKD CV-QKD - Continuous Variable,quantum_cv,QKD_CV-QKD,qkd-cv-003,high,0.85,0.88,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.12929368019104,False,266.48,1.0,0.2,0.0,0.35,2025-12-10T09:11:31.823629
QKD MDI-QKD - Measurement Device Independent,quantum_mdi,QKD_MDI-QKD,qkd-mdi-004,high,0.83,0.86,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.141772508621216,False,279.55,1.0,0.2,0.0,0.35,2025-12-10T09:11:40.215016
QKD DECOY - Decoy State Protocol,quantum_decoy,QKD_DECOY,qkd-decoy-005,very_high,0.91,0.94,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.140884160995483,True,114.9,1.0,0.2,0.0,0.35,2025-12-10T09:11:48.605240
PQC KYBER - Post-Quantum KEM,pqc_kyber,PQC_KYBER,pqc-kyber-006,ultra,0.93,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.08819055557251,True,23.41,0.61,0.2,0.0,0.73,2025-12-10T09:11:56.934815
PQC DILITHIUM - Digital Signature,pqc_dilithium,PQC_DILITHIUM,pqc-dilithium-007,very_high,0.88,0.91,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.037542819976807,True,51.2,0.81,0.2,0.0,0.35,2025-12-10T09:12:05.187508
PQC NTRU - Lattice-Based Encryption,pqc_ntru,PQC_NTRU,pqc-ntru-008,very_high,0.86,0.89,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.06055212020874,True,35.4,0.84,0.2,0.0,0.35,2025-12-10T09:12:13.462285
PQC SABER - Module Learning,pqc_saber,PQC_SABER,pqc-saber-009,high,0.8,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.058993577957153,True,38.93,0.83,0.2,0.0,0.35,2025-12-10T09:12:21.751581
PQC FALCON - Fast Fourier Lattice,pqc_falcon,PQC_FALCON,pqc-falcon-010,ultra,0.94,0.97,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.056507587432861,True,62.96,0.83,0.2,0.0,0.35,2025-12-10T09:12:30.029014
PQC SPHINCS+ - Stateless Hash-Based,pqc_sphincs,PQC_SPHINCS,pqc-sphincs-011,very_high,0.89,0.92,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.0697572231292725,True,69.83,0.81,0.2,0.0,0.35,2025-12-10T09:12:38.321780
HYBRID QKD+PQC - Maximum Security,hybrid_qkd_pqc,HYBRID_QKD_PQC,hybrid-qkd-pqc-012,ultra,0.97,0.99,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.086312770843506,False,302.4,1.0,0.2,0.0,0.35,2025-12-10T09:12:46.635359
HYBRID RSA+PQC - Transition Security,hybrid_rsa,HYBRID_RSA_PQC,hybrid-rsa-013,very_high,0.82,0.85,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.126205682754517,False,110.11,0.84,0.2,0.0,0.35,2025-12-10T09:12:54.994704
HYBRID ECC+PQC - Elliptic Curve Hybrid,hybrid_ecc,HYBRID_ECC_PQC,hybrid-ecc-014,high,0.75,0.79,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.0979180335998535,False,142.26,0.81,0.2,0.0,0.35,2025-12-10T09:13:03.325492
RSA 4096 - Classical Strong,classical_rsa,RSA_4096,rsa-4096-015,high,0.7,0.74,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.142751932144165,True,30.59,0.64,0.2,0.0,0.35,2025-12-10T09:13:11.698726
ECC 521 - Elliptic Curve,classical_ecc,ECC_521,ecc-521-016,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.120075225830078,False,100.43,0.55,0.2,0.0,0.35,2025-12-10T09:13:20.043163
AES 256 GCM - Symmetric Encryption,classical_aes256,AES_256_GCM,aes-256-017,moderate,0.55,0.6,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1331787109375,True,24.32,0.32,0.2,0.0,0.73,2025-12-10T09:13:28.413887
AES 192 - Medium Symmetric,classical_aes192,AES_192,aes-192-018,moderate,0.5,0.55,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.121844053268433,True,42.1,0.43,0.2,0.0,0.35,2025-12-10T09:13:36.768666
ChaCha20-Poly1305 - Stream Cipher,classical_chacha,CHACHA20_POLY1305,chacha20-019,moderate,0.52,0.57,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.0952677726745605,True,24.67,0.48,0.2,0.0,0.35,2025-12-10T09:13:45.089798
FALLBACK AES - Emergency Mode,fallback,FALLBACK_AES,fallback-aes-020,moderate,0.6,0.65,False,"['AES_192', 'AES_256_GCM']",[],6.0935728549957275,True,33.7,0.37,0.1,0.05,0.475,2025-12-10T09:13:53.424722
QKD BB84 - Ultra Security,quantum_bb84,QKD_BB84,qkd-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.082581043243408,True,46.6,0.76,0.2,0.0,0.73,2025-12-10T09:14:06.840630
QKD E91 - Entanglement Based,quantum_e91,QKD_E91,qkd-e91-002,very_high,0.9,0.93,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.0921852588653564,False,304.73,1.0,0.2,0.0,0.35,2025-12-10T09:14:15.177350
QKD CV-QKD - Continuous Variable,quantum_cv,QKD_CV-QKD,qkd-cv-003,high,0.85,0.88,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.081941604614258,False,180.49,1.0,0.2,0.0,0.35,2025-12-10T09:14:23.500540
QKD MDI-QKD - Measurement Device Independent,quantum_mdi,QKD_MDI-QKD,qkd-mdi-004,high,0.83,0.86,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.104010581970215,False,211.98,1.0,0.2,0.0,0.35,2025-12-10T09:14:31.847406
QKD DECOY - Decoy State Protocol,quantum_decoy,QKD_DECOY,qkd-decoy-005,very_high,0.91,0.94,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.125863552093506,True,77.99,1.0,0.2,0.0,0.35,2025-12-10T09:14:40.201791
PQC KYBER - Post-Quantum KEM,pqc_kyber,PQC_KYBER,pqc-kyber-006,ultra,0.93,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.131026029586792,True,35.76,0.59,0.2,0.0,0.73,2025-12-10T09:14:48.553779
PQC DILITHIUM - Digital Signature,pqc_dilithium,PQC_DILITHIUM,pqc-dilithium-007,very_high,0.88,0.91,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.13318943977356,False,125.43,0.8,0.2,0.0,0.35,2025-12-10T09:14:56.932735
PQC NTRU - Lattice-Based Encryption,pqc_ntru,PQC_NTRU,pqc-ntru-008,very_high,0.86,0.89,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.128084659576416,False,126.32,0.82,0.2,0.0,0.35,2025-12-10T09:15:05.307347
PQC SABER - Module Learning,pqc_saber,PQC_SABER,pqc-saber-009,high,0.8,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.131978511810303,False,169.17,0.8,0.2,0.0,0.35,2025-12-10T09:15:13.696448
PQC FALCON - Fast Fourier Lattice,pqc_falcon,PQC_FALCON,pqc-falcon-010,ultra,0.94,0.97,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.152364253997803,False,130.82,0.82,0.2,0.0,0.35,2025-12-10T09:15:22.078791
PQC SPHINCS+ - Stateless Hash-Based,pqc_sphincs,PQC_SPHINCS,pqc-sphincs-011,very_high,0.89,0.92,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.135404825210571,True,62.7,0.81,0.2,0.0,0.35,2025-12-10T09:15:30.459351
HYBRID QKD+PQC - Maximum Security,hybrid_qkd_pqc,HYBRID_QKD_PQC,hybrid-qkd-pqc-012,ultra,0.97,0.99,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.156989812850952,False,235.23,1.0,0.2,0.0,0.35,2025-12-10T09:15:38.871116
HYBRID RSA+PQC - Transition Security,hybrid_rsa,HYBRID_RSA_PQC,hybrid-rsa-013,very_high,0.82,0.85,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.127675294876099,True,55.1,0.84,0.2,0.0,0.35,2025-12-10T09:15:47.227614
HYBRID ECC+PQC - Elliptic Curve Hybrid,hybrid_ecc,HYBRID_ECC_PQC,hybrid-ecc-014,high,0.75,0.79,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.133784055709839,False,105.68,0.81,0.2,0.0,0.35,2025-12-10T09:15:55.616305
RSA 4096 - Classical Strong,classical_rsa,RSA_4096,rsa-4096-015,high,0.7,0.74,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.140457391738892,False,132.16,0.65,0.2,0.0,0.35,2025-12-10T09:16:04.007039
ECC 521 - Elliptic Curve,classical_ecc,ECC_521,ecc-521-016,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1508262157440186,False,113.71,0.59,0.2,0.0,0.35,2025-12-10T09:16:12.414844
AES 256 GCM - Symmetric Encryption,classical_aes256,AES_256_GCM,aes-256-017,moderate,0.55,0.6,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.160532474517822,True,16.35,0.37,0.2,0.0,0.73,2025-12-10T09:16:20.828137
AES 192 - Medium Symmetric,classical_aes192,AES_192,aes-192-018,moderate,0.5,0.55,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.148023366928101,True,25.02,0.44,0.2,0.0,0.35,2025-12-10T09:16:29.214235
ChaCha20-Poly1305 - Stream Cipher,classical_chacha,CHACHA20_POLY1305,chacha20-019,moderate,0.52,0.57,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.120994806289673,False,106.16,0.45,0.2,0.0,0.35,2025-12-10T09:16:37.590661
FALLBACK AES - Emergency Mode,fallback,FALLBACK_AES,fallback-aes-020,moderate,0.6,0.65,False,"['AES_192', 'AES_256_GCM']",[],6.154773712158203,True,22.86,0.38,0.1,0.05,0.475,2025-12-10T09:16:46.000285
QKD BB84 - Ultra Security,quantum_bb84,QKD_BB84,qkd-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.133478879928589,True,52.84,0.81,0.2,0.0,0.73,2025-12-10T09:16:54.877332
QKD E91 - Entanglement Based,quantum_e91,QKD_E91,qkd-e91-002,very_high,0.9,0.93,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.1421191692352295,True,115.72,1.0,0.2,0.0,0.35,2025-12-10T09:17:03.270595
QKD CV-QKD - Continuous Variable,quantum_cv,QKD_CV-QKD,qkd-cv-003,high,0.85,0.88,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.118646144866943,True,103.7,1.0,0.2,0.0,0.35,2025-12-10T09:17:11.643624
QKD MDI-QKD - Measurement Device Independent,quantum_mdi,QKD_MDI-QKD,qkd-mdi-004,high,0.83,0.86,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.147314548492432,True,100.74,1.0,0.2,0.0,0.35,2025-12-10T09:17:20.050162
QKD DECOY - Decoy State Protocol,quantum_decoy,QKD_DECOY,qkd-decoy-005,very_high,0.91,0.94,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.154843091964722,True,113.11,1.0,0.2,0.0,0.35,2025-12-10T09:17:28.462577
PQC KYBER - Post-Quantum KEM,pqc_kyber,PQC_KYBER,pqc-kyber-006,ultra,0.93,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.139667272567749,False,153.14,0.6,0.2,0.0,0.73,2025-12-10T09:17:36.848406
PQC DILITHIUM - Digital Signature,pqc_dilithium,PQC_DILITHIUM,pqc-dilithium-007,very_high,0.88,0.91,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1142258644104,True,56.53,0.79,0.2,0.0,0.35,2025-12-10T09:17:45.210424
PQC NTRU - Lattice-Based Encryption,pqc_ntru,PQC_NTRU,pqc-ntru-008,very_high,0.86,0.89,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.146985769271851,False,118.87,0.83,0.2,0.0,0.35,2025-12-10T09:17:53.612779
PQC SABER - Module Learning,pqc_saber,PQC_SABER,pqc-saber-009,high,0.8,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.151007175445557,False,149.66,0.84,0.2,0.0,0.35,2025-12-10T09:18:02.014777
PQC FALCON - Fast Fourier Lattice,pqc_falcon,PQC_FALCON,pqc-falcon-010,ultra,0.94,0.97,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.141236305236816,True,46.59,0.83,0.2,0.0,0.35,2025-12-10T09:18:10.413224
PQC SPHINCS+ - Stateless Hash-Based,pqc_sphincs,PQC_SPHINCS,pqc-sphincs-011,very_high,0.89,0.92,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.144983291625977,False,182.56,0.82,0.2,0.0,0.35,2025-12-10T09:18:18.818264
HYBRID QKD+PQC - Maximum Security,hybrid_qkd_pqc,HYBRID_QKD_PQC,hybrid-qkd-pqc-012,ultra,0.97,0.99,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.151031255722046,False,246.83,1.0,0.2,0.0,0.35,2025-12-10T09:18:27.210533
HYBRID RSA+PQC - Transition Security,hybrid_rsa,HYBRID_RSA_PQC,hybrid-rsa-013,very_high,0.82,0.85,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.147779703140259,False,125.19,0.83,0.2,0.0,0.35,2025-12-10T09:18:35.599685
HYBRID ECC+PQC - Elliptic Curve Hybrid,hybrid_ecc,HYBRID_ECC_PQC,hybrid-ecc-014,high,0.75,0.79,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.120599985122681,False,120.18,0.82,0.2,0.0,0.35,2025-12-10T09:18:43.963365
RSA 4096 - Classical Strong,classical_rsa,RSA_4096,rsa-4096-015,high,0.7,0.74,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.128641605377197,False,103.3,0.61,0.2,0.0,0.35,2025-12-10T09:18:52.352274
ECC 521 - Elliptic Curve,classical_ecc,ECC_521,ecc-521-016,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.130800008773804,True,44.27,0.59,0.2,0.0,0.35,2025-12-10T09:19:00.727326
AES 256 GCM - Symmetric Encryption,classical_aes256,AES_256_GCM,aes-256-017,moderate,0.55,0.6,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.134149551391602,True,22.3,0.32,0.1,0.05,0.88,2025-12-10T09:19:09.109620
AES 192 - Medium Symmetric,classical_aes192,AES_192,aes-192-018,moderate,0.5,0.55,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.14354944229126,True,40.4,0.4,0.2,0.0,0.35,2025-12-10T09:19:17.497583
ChaCha20-Poly1305 - Stream Cipher,classical_chacha,CHACHA20_POLY1305,chacha20-019,moderate,0.52,0.57,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.119316816329956,True,29.16,0.47,0.2,0.0,0.35,2025-12-10T09:19:25.858992
FALLBACK AES - Emergency Mode,fallback,FALLBACK_AES,fallback-aes-020,moderate,0.6,0.65,False,"['AES_192', 'AES_256_GCM']",[],6.109716892242432,False,94.0,0.39,0.1,0.05,0.475,2025-12-10T09:19:34.210202
QKD BB84 - Ultra Security,quantum_bb84,QKD_BB84,qkd-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.111642122268677,True,52.64,0.79,0.2,0.0,0.73,2025-12-10T09:19:43.071875
QKD E91 - Entanglement Based,quantum_e91,QKD_E91,qkd-e91-002,very_high,0.9,0.93,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.125745058059692,False,249.28,1.0,0.2,0.0,0.35,2025-12-10T09:19:51.454191
QKD CV-QKD - Continuous Variable,quantum_cv,QKD_CV-QKD,qkd-cv-003,high,0.85,0.88,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.119574308395386,False,233.45,1.0,0.2,0.0,0.35,2025-12-10T09:19:59.833735
QKD MDI-QKD - Measurement Device Independent,quantum_mdi,QKD_MDI-QKD,qkd-mdi-004,high,0.83,0.86,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.120891094207764,True,103.8,1.0,0.2,0.0,0.35,2025-12-10T09:20:08.199257
QKD DECOY - Decoy State Protocol,quantum_decoy,QKD_DECOY,qkd-decoy-005,very_high,0.91,0.94,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.134405612945557,True,96.02,1.0,0.2,0.0,0.35,2025-12-10T09:20:16.590038
PQC KYBER - Post-Quantum KEM,pqc_kyber,PQC_KYBER,pqc-kyber-006,ultra,0.93,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.148905277252197,True,21.17,0.59,0.2,0.0,0.73,2025-12-10T09:20:24.991983
PQC DILITHIUM - Digital Signature,pqc_dilithium,PQC_DILITHIUM,pqc-dilithium-007,very_high,0.88,0.91,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.144697904586792,False,176.53,0.81,0.2,0.0,0.35,2025-12-10T09:20:33.393058
PQC NTRU - Lattice-Based Encryption,pqc_ntru,PQC_NTRU,pqc-ntru-008,very_high,0.86,0.89,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.127206325531006,False,113.73,0.8,0.2,0.0,0.35,2025-12-10T09:20:41.775223
PQC SABER - Module Learning,pqc_saber,PQC_SABER,pqc-saber-009,high,0.8,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.131736755371094,False,117.85,0.82,0.2,0.0,0.35,2025-12-10T09:20:50.163058
PQC FALCON - Fast Fourier Lattice,pqc_falcon,PQC_FALCON,pqc-falcon-010,ultra,0.94,0.97,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.129574298858643,False,174.24,0.81,0.2,0.0,0.35,2025-12-10T09:20:58.529721
PQC SPHINCS+ - Stateless Hash-Based,pqc_sphincs,PQC_SPHINCS,pqc-sphincs-011,very_high,0.89,0.92,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.127430200576782,False,174.0,0.83,0.2,0.0,0.35,2025-12-10T09:21:06.917986
HYBRID QKD+PQC - Maximum Security,hybrid_qkd_pqc,HYBRID_QKD_PQC,hybrid-qkd-pqc-012,ultra,0.97,0.99,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.142662048339844,False,256.89,1.0,0.2,0.0,0.35,2025-12-10T09:21:15.316648
HYBRID RSA+PQC - Transition Security,hybrid_rsa,HYBRID_RSA_PQC,hybrid-rsa-013,very_high,0.82,0.85,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.139666795730591,False,142.32,0.8,0.2,0.0,0.35,2025-12-10T09:21:23.681562
